PlayerName,Position,MarketValue,PPS,S1 FP/G,S2 FP/G,S3 FP/G,S4 FP/G,S5 FP/G,S6 FP/G,S7 FP/G,S8 FP/G,S9 FP/G,S10 FP/G,S11 FP/G,S12 FP/G,S1 GP,S2 GP,S3 GP,S4 GP,S5 GP,S6 GP,S7 GP,S8 GP,S9 GP,S10 GP,S11 GP,S12 GP
Amen Thompson,"G,F,Flx",3.0,21.72984333333333,0.0,0.0,43.13,59.97,,,,,,,,,0.0,0.0,62.0,69.0,,,,,,,,
Alec Burks,"G,Flx",1.0,21.690305000000002,42.27,36.65,26.03,24.88,,,,,,,,,81.0,51.0,66.0,49.0,,,,,,,,
Kyle Lowry,"G,Flx",6.0,20.918020000000002,56.14,45.24,37.95,23.77,,,,,,,,,63.0,55.0,60.0,35.0,,,,,,,,
Mark Williams,"C,Flx",3.0,20.071099999999998,0.0,37.88,54.95,60.43,,,,,,,,,0.0,43.0,19.0,44.0,,,,,,,,
Chet Holmgren,"F,C,Flx",30.0,19.888630000000003,0.0,0.0,61.96,56.69,,,,,,,,,0.0,0.0,82.0,32.0,,,,,,,,
Jarred Vanderbilt,"F,Flx",2.0,19.398715000000003,41.59,40.72,27.0,24.61,,,,,,,,,74.0,78.0,29.0,36.0,,,,,,,,
Paul Reed,"C,Flx",1.0,19.15056,17.26,22.04,35.65,20.67,,,,,,,,,38.0,69.0,82.0,45.0,,,,,,,,
Kevin Love,"F,Flx",1.0,19.03672666666667,45.95,32.56,35.51,22.39,,,,,,,,,74.0,62.0,55.0,23.0,,,,,,,,
Keyonte George,"G,Flx",2.0,18.890496666666667,0.0,0.0,35.41,47.78,,,,,,,,,0.0,0.0,75.0,67.0,,,,,,,,
Kevin Porter,"G,Flx",3.0,18.268575,51.75,59.73,0.0,34.05,,,,,,,,,61.0,59.0,0.0,75.0,,,,,,,,
Brandin Podziemski,"G,F,Flx",1.0,17.82178,0.0,0.0,40.78,43.92,,,,,,,,,0.0,0.0,74.0,64.0,,,,,,,,
Brandon Miller,"F,Flx",7.0,16.258811666666666,0.0,0.0,45.26,56.89,,,,,,,,,0.0,0.0,74.0,27.0,,,,,,,,
Mo Bamba,"C,Flx",1.0,15.94008166666667,46.65,27.37,23.14,22.09,,,,,,,,,71.0,49.0,57.0,32.0,,,,,,,,
Scoot Henderson,"G,Flx",3.0,15.449600000000002,0.0,0.0,38.24,41.0,,,,,,,,,0.0,0.0,62.0,66.0,,,,,,,,
Oshae Brissett,"F,Flx",1.0,14.908285,32.16,20.26,15.69,26.5,,,,,,,,,67.0,65.0,55.0,6.0,,,,,,,,
Robert Williams,"C,Flx",3.0,14.62292,58.92,44.63,36.67,34.35,,,,,,,,,61.0,35.0,6.0,20.0,,,,,,,,
Jaime Jaquez,"G,F,Flx",1.0,14.17567,0.0,0.0,37.21,32.09,,,,,,,,,0.0,0.0,75.0,66.0,,,,,,,,
Ben Simmons,"G,Flx",2.0,13.954859999999996,0.0,44.76,46.67,34.8,,,,,,,,,0.0,42.0,15.0,51.0,,,,,,,,
