ID,Player,Team,Position,RkOv,Status,FPts,FP/G,GP,FG-,3PTM,FT-,PTS,OREB,REB,AST,ST,BLK,TO,TF,EJ,3D,2D
*06cc6*,Jett Howard,ORL,"F,Flx",374,FA,706,11.77,60,164,55,7,267,20,70,44,13,11,36,0,0,0,0
*06cdj*,Colby Jones,DET,"G,Flx",375,FA,703,18.03,39,70,16,12,157,21,87,44,26,13,23,0,0,0,1
*06gix*,Duop Reath,POR,"C,Flx",376,FA,698,15.17,46,96,34,2,194,44,92,26,12,14,16,0,0,0,0
*05uwa*,A.J. Lawson,TOR,"G,Flx",377,FA,696,26.77,26,110,33,20,236,20,86,31,13,6,15,0,0,0,2
*06mk0*,Robert Dillingham,MIN,"G,Flx",378,FA,694,14.16,49,118,25,7,219,12,50,98,20,1,53,0,0,0,0
*04qrv*,Lonnie Walker,PHI,"G,Flx",379,FA,693,34.65,20,123,45,6,247,6,63,50,10,5,25,0,0,0,1
*04qs4*,Robert Williams,POR,"C,Flx",380,FA,687,34.35,20,28,1,2,116,35,118,21,13,33,17,0,0,0,0
*06cd9*,Jaylen Clark,MIN,"G,F,Flx",381,FA,674,16.85,40,64,22,8,163,26,53,26,36,2,8,0,0,0,0
*0661b*,Jamal Cain,ORL,"F,Flx",382,FA,661,17.86,37,90,26,16,196,27,85,22,23,9,22,1,0,0,0
*0622a*,Vince Williams,MEM,"G,Flx",383,FA,652,24.15,27,100,26,5,179,22,98,55,12,7,33,0,0,0,1
*06mki*,Dillon Jones,WAS,"F,Flx",384,FA,649,12.02,54,82,16,11,135,30,121,58,16,4,28,0,0,0,1
*051p2*,Grant Williams,CHA,"F,Flx",385,FA,648,40.5,16,69,27,6,166,18,82,37,18,13,28,1,1,0,0
*0621p*,Wendell Moore,CHA,"G,F,Flx",386,FA,640,17.78,36,67,14,4,150,30,95,42,20,5,27,0,0,0,1
*03apx*,Gary Harris,MIL,"G,Flx",387,FA,637,13.27,48,82,36,5,145,20,64,30,26,12,17,0,0,0,0
*06mkc*,Jaylon Tyson,CLE,"G,Flx",388,FA,622,13.23,47,85,20,5,167,37,96,44,13,3,26,0,0,0,1
*05qtg*,Trevelin Queen,ORL,"G,Flx",389,FA,615,19.84,31,91,22,3,152,26,54,38,31,10,22,0,0,0,0
*06mkf*,AJ Johnson,WAS,"G,Flx",390,FA,613,21.14,29,131,24,5,220,8,59,76,12,3,35,0,0,0,0
*064tp*,Quenton Jackson,IND,"G,Flx",391,FA,607,21.68,28,64,15,9,162,14,44,53,21,5,16,0,0,0,0
*051p0*,Matisse Thybulle,POR,"G,F,Flx",392,FA,597,39.8,15,46,21,8,112,14,52,28,33,9,13,0,0,0,0
*0621j*,Malaki Branham,WAS,"G,Flx",393,FA,589,12.53,47,103,34,6,235,7,51,38,11,2,34,0,0,0,0
*06cdh*,GG Jackson,MEM,"F,Flx",394,FA,581,20.03,29,125,32,11,209,27,92,29,12,5,31,0,0,0,0
*04qsd*,Mitchell Robinson,NY,"C,Flx",395,FA,579,34.06,17,19,0,6,87,52,101,13,16,18,10,0,0,0,2
*0621m*,David Roddy,ATL,"F,Flx",396,FA,577,17.48,33,68,19,6,153,13,84,35,14,9,22,1,0,0,0
*0621a*,Ousmane Dieng,OKC,"F,C,Flx",397,FA,573,15.49,37,71,23,5,142,18,81,31,17,7,18,0,0,0,0
*0626t*,Dominick Barlow,PHI,"F,Flx",398,FA,567,16.2,35,53,7,12,148,35,85,19,9,16,5,1,0,0,1
*06cp2*,Colin Castleton,TOR,"C,Flx",399,FA,562,21.62,26,52,2,9,123,53,122,28,8,10,23,0,0,0,0
*051oq*,Cam Reddish,(N/A),"G,F,Flx",400,FA,556,16.85,33,56,13,10,105,17,66,22,33,10,12,0,0,0,0
*06mk5*,Devin Carter,SAC,"G,Flx",401,FA,552,15.33,36,80,18,18,138,19,76,41,21,4,18,0,0,0,0
*03acx*,Dante Exum,DAL,"G,Flx",402,FA,547,27.35,20,70,23,8,174,4,33,56,12,3,22,0,0,0,0
*06cef*,Oscar Tshiebwe,UTA,"C,Flx",403,FA,545,38.93,14,28,0,8,107,46,122,9,13,1,10,0,0,0,4
*04jw4*,Maxi Kleber,LAL,"F,Flx",404,FA,542,15.94,34,59,13,5,103,25,95,43,9,17,23,0,0,0,0
*01en8*,Taj Gibson,CHA,"C,Flx",405,FA,541,14.62,37,48,1,8,107,51,120,21,9,18,25,1,0,0,1
*001ax*,Jeff Green,HOU,"F,Flx",406,FA,527,16.47,32,60,29,5,172,11,58,20,6,4,9,0,0,0,0
*031ls*,Alex Len,LAL,"C,Flx",407,FA,523,11.37,46,31,2,9,74,38,95,38,9,21,20,0,0,0,0
*005kd*,Kevin Love,UTA,"F,Flx",408,FA,515,22.39,23,74,24,7,122,22,94,22,15,4,14,0,0,0,0
*06mmb*,Reece Beekman,BKN,"G,Flx",409,FA,502,13.94,36,72,7,5,93,13,39,63,33,2,21,0,0,0,0
*04qs9*,Jevon Carter,CHI,"G,Flx",410,FA,497,13.81,36,91,35,2,153,4,39,40,13,3,11,0,0,0,0
*06mkm*,Baylor Scheierman,BOS,"G,Flx",411,FA,493,15.9,31,71,26,3,113,19,65,33,17,2,12,0,0,0,0
*05uj2*,Jaden Springer,UTA,"G,Flx",412,FA,493,11.47,43,55,12,11,109,17,58,33,24,4,16,0,0,0,0
*04jw5*,Torrey Craig,BOS,"F,Flx",413,FA,484,18.62,26,52,24,4,108,27,73,17,8,12,8,0,0,0,0
*027p9*,Reggie Jackson,(N/A),"G,Flx",414,FA,484,15.61,31,81,25,2,136,8,42,45,16,3,17,0,0,0,0
*06mlh*,Johnny Furphy,IND,"G,F,Flx",415,FA,483,9.66,50,57,15,4,103,23,71,19,18,11,12,0,0,0,0
*06cd2*,Rayan Rupert,POR,"G,Flx",417,FA,480,9.23,52,84,16,7,155,26,70,25,16,4,30,0,0,0,1
*06ccw*,Jordan Miller,LAC,"F,Flx",416,FA,480,12.97,37,76,8,7,152,23,58,34,17,5,26,0,0,0,0
*0621w*,Christian Koloko,LAL,"C,Flx",418,FA,479,12.95,37,26,0,4,90,35,92,16,8,16,12,0,0,0,0
*05uj0*,Bones Hyland,MIN,"G,Flx",419,FA,474,19.75,24,71,32,3,149,5,25,32,18,4,25,0,0,0,0
*049ki*,Marvin Bagley,WAS,"F,C,Flx",420,FA,472,15.23,31,51,3,12,136,38,84,11,9,8,12,0,0,0,1
*06mmi*,Branden Carlson,OKC,"C,Flx",421,FA,469,14.66,32,54,22,4,122,17,54,14,5,21,7,0,0,0,1
*06ccx*,Hunter Tyson,DEN,"F,Flx",422,FA,465,9.12,51,75,23,7,134,25,78,20,10,6,14,2,0,0,0
*06228*,Josh Minott,BOS,"F,Flx",423,FA,462,10.04,46,46,14,2,119,12,47,18,15,12,11,0,0,0,0
*05uis*,Tre Mann,CHA,"G,Flx",424,FA,461,35.46,13,91,24,2,183,12,38,39,7,4,25,1,0,0,0
*06him*,Trey Jemison,LAL,"C,Flx",425,FA,454,11.95,38,33,0,20,95,44,105,16,9,15,24,3,0,0,0
*06pty*,Keion Brooks,NO,"F,Flx",426,FA,453,32.36,14,56,14,8,142,12,58,13,10,10,12,0,0,0,1
*04xhz*,Jordan McLaughlin,SA,"G,Flx",427,FA,453,9.85,46,41,19,5,98,6,30,51,16,1,16,0,0,0,0
*05wqo*,Dru Smith,MIA,"G,Flx",428,FA,430,30.71,14,30,16,3,88,12,36,23,21,6,17,0,0,0,0
*06mkj*,Terrence Shannon,MIN,"G,Flx",429,FA,423,13.22,32,59,11,4,138,10,47,32,7,5,15,0,0,0,1
*05qv9*,Anthony Gill,WAS,"F,Flx",430,FA,421,8.25,51,45,10,17,129,18,66,16,9,2,10,0,0,0,0
*027om*,Tristan Thompson,CLE,"C,Flx",431,FA,417,10.43,40,40,0,23,69,32,134,24,2,11,14,1,1,0,0
