"ID","Player","Team","Position","Status","Roster Status","Opponent","FPts","FP/G","Ros","+/-","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*027oo*","Jonas Valanciunas","WAS","C,Flx","MylS","Active","","754","41.89","94%","0%","3.4","0.1","0.2","12.0","2.2","7.6","2.2","0.4","0.7","1.7","0.17","0.00","0.0","4"
"*06cc1*","Bilal Coulibaly","WAS","F,Flx","TRUMP","Reserve","","751","44.18","90%","-0.5%","5.0","1.0","0.8","12.6","1.5","5.4","2.8","1.3","0.6","1.9","0.00","0.00","0.0","0"
"*06cc8*","Dereck Lively","DAL","C,Flx","ROMO","Active","","744","46.5","94%","-0.5%","1.5","0.0","0.9","8.8","2.6","7.1","2.3","0.6","1.6","0.9","0.00","0.00","0.0","3"
"*02nf7*","Harrison Barnes","SA","F,Flx","BabyOil","Active","","744","37.2","59%","+9.1%","3.6","1.5","0.6","11.6","1.9","4.8","1.6","0.3","0.2","0.8","0.00","0.00","0.0","1"
"*06mju*","Alex Sarr","WAS","F,C,Flx","TRUMP","Active","","741","41.17","95%","+0.6%","6.6","1.1","0.8","10.6","1.9","6.1","2.1","0.7","1.8","1.3","0.00","0.00","0.0","2"
"*03ad4*","D'Angelo Russell","LAL","G,Flx","Tribunal","Reserve","@MIN Mon 8:00PM","734","38.63","92%","-1.6%","6.3","1.8","0.3","12.1","0.3","2.6","4.8","1.0","0.2","1.7","0.05","0.00","0.0","0"
"*06cc2*","Gradey Dick","TOR","G,F,Flx","Sar","Inj Res","","709","41.71","86%","-2.7%","8.5","2.4","0.4","18.1","0.6","3.1","2.2","0.9","0.3","1.8","0.00","0.00","0.0","0"
"*049kd*","Deandre Ayton","POR","C,Flx","DBD","Active","","700","50","98%","+0.2%","5.5","0.4","0.4","14.7","2.9","10.3","1.3","0.9","0.6","1.9","0.07","0.00","0.0","9"
"*03wr4*","T.J. McConnell","IND","G,Flx","MylS","Active","","696","34.8","59%","-3.7%","3.7","0.1","0.2","10.1","0.6","2.7","4.0","1.4","0.3","1.6","0.10","0.00","0.0","0"
"*05qzh*","Naji Marshall","DAL","G,F,Flx","PRO","Reserve","","695","34.75","51%","+6.1%","3.9","0.8","0.2","11.6","1.1","3.4","2.4","0.9","0.1","1.4","0.00","0.00","0.0","0"
"*051oi*","Ja Morant","MEM","G,Flx","Sar","Active","","693","63","100%","0%","8.2","1.1","1.1","21.2","0.5","4.3","9.0","0.8","0.4","3.7","0.18","0.00","0.1","6"
"*03nwn*","Bobby Portis","MIL","F,C,Flx","TRH","Active","","689","38.28","90%","+0.2%","6.3","1.0","0.3","12.8","1.8","7.4","1.3","0.4","0.6","1.2","0.06","0.00","0.0","2"
"*06mk9*","Dalton Knecht","LAL","G,F,Flx","EE","Reserve","@MIN Mon 8:00PM","688","34.4","75%","-1.1%","4.7","2.4","0.1","11.8","0.7","3.5","1.2","0.5","0.0","0.3","0.00","0.00","0.0","0"
"*051p9*","Keldon Johnson","SA","G,F,Flx","EE","Active","","688","36.21","73%","-3.6%","5.6","1.2","0.7","12.2","0.9","5.5","1.7","0.7","0.2","0.7","0.00","0.00","0.0","1"
"*06mk8*","Jared McCain","PHI","G,Flx","EE","Active","","683","37.94","81%","+0.4%","6.8","2.2","0.3","16.0","0.6","2.5","2.6","0.6","0.0","1.4","0.00","0.00","0.0","1"
