"ID","Player","Team","Position","Status","Roster Status","Opponent","FPts","FP/G","Ros","+/-","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*02ng3*","Khris Middleton","WAS","F,Flx","Fent","Active","SA Mon 7:00PM","870","43.5","88%","-1.4%","4.4","1.6","0.3","13.4","0.3","3.8","4.2","0.6","0.2","1.7","0.00","0.00","0.0","0"
"*049ka*","Lonzo Ball","CHI","G,Flx","420","Reserve","","865","39.32","62%","-1.5%","4.6","2.0","0.1","8.0","0.9","3.8","3.5","1.6","0.5","1.4","0.00","0.00","0.0","0"
"*03nwl*","Terry Rozier","MIA","G,Flx","ROMO","Active","BOS Mon 7:30PM","861","34.44","85%","+2.3%","6.9","1.4","0.4","13.0","0.9","4.4","2.9","0.5","0.2","1.4","0.04","0.04","0.0","0"
"*06cc2*","Gradey Dick","TOR","G,F,Flx","MylS","Active","","846","33.84","82%","+1%","6.3","1.8","0.3","13.0","1.0","3.5","1.8","0.8","0.2","1.5","0.00","0.00","0.0","0"
"*04s00*","Duncan Robinson","MIA","G,F,Flx","ROMO","Reserve","BOS Mon 7:30PM","843","32.42","43%","-5.9%","5.2","2.5","0.0","10.7","0.2","2.3","2.8","0.6","0.1","1.3","0.04","0.00","0.0","0"
"*03wr4*","T.J. McConnell","IND","G,Flx","MylS","Reserve","","842","32.38","57%","+0.2%","4.3","0.2","0.2","8.4","0.6","2.7","4.8","1.0","0.3","1.5","0.00","0.00","0.0","1"
"*06218*","Jeremy Sochan","SA","F,Flx","ROMO","Reserve","@WAS Mon 7:00PM","841","42.05","87%","-2.6%","3.3","0.6","0.5","10.4","2.3","6.9","2.5","0.8","0.6","1.7","0.10","0.00","0.0","3"
"*04ewr*","Kyle Kuzma","MIL","F,Flx","DBD","Reserve","GS Mon 8:00PM","838","38.09","94%","+1%","8.0","1.5","1.4","14.6","0.9","6.0","2.8","0.7","0.2","2.2","0.00","0.00","0.0","2"
"*04qru*","Donte DiVincenzo","MIN","G,F,Flx","ROMO","Inj Res","@CLE Mon 7:00PM","836","49.18","79%","-1.2%","5.9","3.2","0.3","14.3","0.9","4.6","3.6","1.1","0.1","1.9","0.00","0.00","0.0","1"
"*06mjw*","Stephon Castle","SA","G,Flx","PRO","Active","@WAS Mon 7:00PM","820","32.8","80%","+1.7%","6.2","1.0","1.0","13.2","0.8","3.0","3.4","0.7","0.1","2.0","0.00","0.00","0.0","0"
"*0527l*","Luguentz Dort","OKC","G,F,Flx","ROMO","Active","NO Mon 8:00PM","820","35.65","62%","0%","4.5","2.5","0.1","9.8","1.4","4.0","1.5","1.0","0.4","0.8","0.13","0.04","0.0","0"
"*03al2*","Joel Embiid","PHI","C,Flx","EE","Active","","798","72.55","99%","+0.3%","8.9","1.7","1.5","26.0","1.8","8.3","4.9","1.0","0.9","3.1","0.27","0.09","0.1","4"
"*031m4*","Dennis Schroder","DET","G,Flx","15","Active","","796","30.62","88%","-1.5%","6.3","1.6","0.4","10.5","0.4","2.3","4.5","1.0","0.1","2.1","0.23","0.00","0.0","0"
"*05qtd*","Nick Richards","PHO","C,Flx","J&J","Reserve","","791","32.96","73%","-3.7%","2.5","0.0","0.9","7.9","2.4","7.9","0.8","0.3","0.9","1.5","0.04","0.00","0.0","5"
"*05uj4*","Santi Aldama","MEM","F,C,Flx","Sar","Reserve","","761","40.05","80%","-0.6%","5.5","1.9","0.6","12.2","1.4","5.7","1.7","0.6","0.5","0.8","0.05","0.00","0.0","2"
"*05ujc*","Ayo Dosunmu","CHI","G,F,Flx","TRH","Reserve","","742","43.65","83%","+1.4%","5.1","1.6","0.3","11.9","0.5","3.1","4.8","1.1","0.4","1.5","0.00","0.00","0.0","0"
"*03aq2*","Jerami Grant","POR","F,Flx","Tribunal","Active","@DEN Mon 9:00PM","737","38.79","91%","-0.7%","6.9","2.3","0.3","13.9","0.7","3.1","2.1","0.5","1.0","1.3","0.00","0.00","0.0","0"
"*051or*","Cameron Johnson","BKN","F,Flx","PRO","Active","CHA Mon 7:30PM","728","52","96%","0%","6.9","3.0","0.5","20.1","0.7","3.8","3.0","0.6","0.5","2.8","0.00","0.00","0.0","1"
"*06cc7*","Brandin Podziemski","GS","G,F,Flx","J&J","Reserve","@MIL Mon 8:00PM","725","45.31","81%","+1.1%","4.1","1.9","0.5","11.9","0.9","4.4","3.5","1.2","0.0","0.8","0.00","0.00","0.0","0"
"*03e6s*","Clint Capela","ATL","C,Flx","ROMO","Active","@ORL Mon 7:00PM","723","38.05","88%","-2.3%","3.0","0.0","0.8","8.4","2.6","8.4","1.0","0.6","1.1","1.3","0.00","0.00","0.0","5"
"*051oh*","Zion Williamson","NO","F,C,Flx","BabyOil","Active","@OKC Mon 8:00PM","716","71.6","99%","+0.1%","7.2","0.0","2.7","25.3","2.9","7.4","4.6","1.6","1.0","2.8","0.10","0.00","0.0","2"
"*06210*","Paolo Banchero","ORL","F,Flx","J&J","Active","ATL Mon 7:00PM","703","46.87","100%","0%","10.9","1.2","2.3","19.7","0.7","6.6","4.8","0.7","0.8","3.5","0.13","0.00","0.0","1"
"*03al0*","Aaron Gordon","DEN","F,Flx","Fent","Reserve","POR Mon 9:00PM","702","35.1","87%","-1.4%","4.2","0.9","0.6","11.1","1.4","4.3","2.9","0.4","0.3","1.1","0.05","0.00","0.0","0"
"*03byk*","Jordan Clarkson","UTA","G,F,Flx","ROMO","Active","@LAL Mon 10:30PM","702","46.8","78%","+2.5%","7.7","2.9","0.6","18.5","0.5","2.6","3.7","0.9","0.5","2.3","0.13","0.07","0.0","0"
"*051pa*","Kevin Porter","MIL","G,Flx","Tribunal","Active","GS Mon 8:00PM","696","30.26","43%","+1.1%","5.0","0.7","0.6","9.3","0.7","3.7","3.5","1.0","0.2","1.5","0.13","0.00","0.0","0"
"*062dn*","Julian Champagnie","SA","F,Flx","ROMO","Active","@WAS Mon 7:00PM","682","26.23","39%","-2.4%","4.2","2.0","0.1","7.8","0.7","3.1","1.0","0.8","0.3","1.0","0.00","0.00","0.0","0"
"*02nfz*","Draymond Green","GS","F,C,Flx","DBD","Reserve","@MIL Mon 8:00PM","672","42","91%","+0.3%","4.3","1.1","0.7","7.8","1.1","5.5","5.0","1.3","1.2","2.5","0.25","0.00","0.0","1"
"*000zv*","Al Horford","BOS","F,C,Flx","Fent","Reserve","@MIA Mon 7:30PM","665","30.23","62%","-2.4%","4.4","1.4","0.1","6.5","1.3","5.3","1.5","0.5","0.8","0.5","0.00","0.00","0.0","1"
"*06mk3*","Matas Buzelis","CHI","F,Flx","TRUMP","Active","","661","24.48","73%","+14.6%","3.0","0.9","0.2","6.9","0.8","3.1","0.7","0.2","1.0","0.6","0.00","0.00","0.0","0"
