ID,Player,Team,Position,RkOv,Status,FPts,FP/G
*06vy2*,Chucky Hepburn,TOR,"G,Flx",943,FA,0,0
*05uwa*,A.J. Lawson,TOR,"G,Flx",1106,FA,0,0
*01ng2*,Garrett Temple,TOR,"G,Flx",1541,FA,0,0
*005kc*,Russell Westbrook,SAC,"G,Flx",33,9/11FT,562,62.44
*01eon*,DeMar DeRozan,SAC,"F,Flx",84,GWBush,450,50
*03ams*,Zach LaVine,SAC,"G,F,Flx",86,420,444,55.5
*031m4*,Dennis Schroder,SAC,"G,Flx",89,Bomb,442,49.11
*042n7*,Domantas Sabonis,SAC,"C,Flx",103,Bomb,411,68.5
*049kc*,Malik Monk,SAC,"G,Flx",144,420,333,47.57
*0623m*,Keon Ellis,SAC,"G,Flx",211,FA,235,26.11
*04xdu*,Drew Eubanks,SAC,"C,Flx",237,FA,194,21.56
*06v5w*,Nique Clifford,SAC,"G,Flx",286,FA,117,23.4
*06v88*,Maxime Raynaud,SAC,"F,C,Flx",330,FA,67,16.75
*06mk5*,Devin Carter,SAC,"G,Flx",355,FA,46,7.67
*06y2o*,Dylan Cardwell,SAC,"C,Flx",378,FA,33,11
*05qtm*,Precious Achiuwa,SAC,"F,C,Flx",388,FA,30,15
*03acy*,Dario Saric,SAC,"C,Flx",409,FA,20,6.67
*06213*,Keegan Murray,SAC,"F,Flx",1275,9/11FT,0,0
*03avi*,Doug McDermott,SAC,"F,Flx",1197,FA,0,0
*064q6*,Daeqwon Plowden,SAC,"G,Flx",1374,FA,0,0
*06mp0*,Isaiah Stevens,SAC,"G,Flx",1513,FA,0,0
*03iy1*,Sim Bhullar,SAC,"C,Flx",552,FA,0,0
*04z79*,Cody Demps,SAC,"G,Flx",751,FA,0,0
*06cch*,Victor Wembanyama,SA,"C,Flx",5,9/11FT,791,87.89
*06mjw*,Stephon Castle,SA,"G,Flx",28,BALL,581,64.56
*05qtr*,Devin Vassell,SA,"G,F,Flx",115,9/11FT,382,42.44
*02nf7*,Harrison Barnes,SA,"F,Flx",117,W <small>(Sun)</small>,378,42
*051p9*,Keldon Johnson,SA,"G,F,Flx",118,9/11FT,377,41.89
*062dn*,Julian Champagnie,SA,"F,Flx",120,FA,369,41
*06v5y*,Dylan Harper,SA,"G,Flx",209,HAIRY,240,40
*04xhz*,Jordan McLaughlin,SA,"G,Flx",277,FA,126,15.75
*04jwb*,Luke Kornet,SA,"C,Flx",308,FA,91,45.5
*06218*,Jeremy Sochan,SA,"F,C,Flx",311,FA,88,29.33
*049kb*,DeAaron Fox,SA,"G,Flx",338,Penta,62,62
