Player ID,Pick,Pos,Player,Team,Bid,Fantasy Team,Time (EDT),,,,,
*05qtm*,120,F,Precious Achiuwa,TOR,1,Pizza Time 🍕,10/8/2022 5:56,,,,,
*05uj0*,121,G,Bones Hyland,DEN/LAC,1,I Got You Kobe,10/8/2022 5:56,,,,,
*0015e*,122,G,Mike Conley,UTA/MIN,1,Team IAMCANADA,10/8/2022 5:57,,,,,
*03nwk*,123,F,Kelly Oubre Jr.,CHA,1,Tiger Blood,10/8/2022 5:57,,,,,
*042nt*,124,C,Ivica Zubac,LAC,1,Zenkevafuck,10/8/2022 5:57,,,,,
*03e6u*,125,G,Bogdan Bogdanovic,ATL,1,SpeckledGnu,10/8/2022 5:58,,,,,
*042nf*,126,G,Caris LeVert,CLE,1,Gianni’s Secret Move,10/8/2022 5:58,,,,,
*03e74*,127,G,Spencer Dinwiddie,DAL/BKN,1,LeBronto,10/8/2022 5:59,,,,,
*049s6*,128,G,Markelle Fultz,ORL,1,I Got You Kobe,10/8/2022 5:59,,,,,
*027ov*,129,G,Alec Burks,DET,1,Team IAMCANADA,10/8/2022 6:00,,,,,
*005kd*,130,F,Kevin Love,CLE/MIA,1,Tiger Blood,10/8/2022 6:00,,,,,
*05qu1*,131,C,James Wiseman,GS/DET,1,Zenkevafuck,10/8/2022 6:00,,,,,
*049kf*,132,C,Mo Bamba,ORL/LAL,1,Gianni’s Secret Move,10/8/2022 6:00,,,,,
*06215*,133,G,Bennedict Mathurin,IND,1,LeBronto,10/8/2022 6:01,,,,,
*03al0*,134,F,Aaron Gordon,DEN,1,Team IAMCANADA,10/8/2022 6:01,,,,,
*049ki*,135,F,Marvin Bagley,DET,1,Zenkevafuck,10/8/2022 6:02,,,,,
*038xi*,136,F,Robert Covington,LAC,1,Gianni’s Secret Move,10/8/2022 6:02,,,,,
*031m9*,137,C,Mason Plumlee,CHA/LAC,1,Team IAMCANADA,10/8/2022 6:03,,,,,
*04qs1*,138,G,Anfernee Simons,POR,1,Zenkevafuck,10/8/2022 6:03,,,,,
*02ng4*,139,G,Will Barton,WAS/TOR,1,Team IAMCANADA,10/8/2022 6:04,,,,,
*051or*,140,F,Cameron Johnson,PHO/BKN,1,Zenkevafuck,10/8/2022 6:04,,,,,
